FMNIST	 acc: 0.8866	 time: 112.19	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8800	 time: 111.42	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8858	 time: 112.63	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8839	 time: 111.38	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8787	 time: 113.71	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8799	 time: 112.25	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8905	 time: 113.52	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8815	 time: 112.98	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8863	 time: 111.03	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8833	 time: 112.47	 epochs: 20	 batch size: 120000
FMNIST	 acc: 0.8793	 time: 64.77	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8850	 time: 56.70	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8837	 time: 56.86	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8775	 time: 56.96	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8852	 time: 56.92	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8846	 time: 56.46	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8776	 time: 56.42	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8840	 time: 57.02	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8827	 time: 56.58	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8840	 time: 57.13	 epochs: 10	 batch size: 120000
FMNIST	 acc: 0.8860	 time: 254.73	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8875	 time: 248.04	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8796	 time: 249.25	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8831	 time: 249.94	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8835	 time: 251.34	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8872	 time: 251.25	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8842	 time: 251.02	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8863	 time: 249.00	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8872	 time: 249.93	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8808	 time: 252.30	 epochs: 45	 batch size: 120000
FMNIST	 acc: 0.8831	 time: 231.84	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8820	 time: 223.87	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8800	 time: 222.28	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8847	 time: 224.71	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8861	 time: 223.14	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8886	 time: 222.59	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8836	 time: 222.28	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8788	 time: 221.88	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8869	 time: 226.39	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8898	 time: 223.97	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8811	 time: 223.39	 epochs: 40	 batch size: 120000
FMNIST	 acc: 0.8865	 time: 222.69	 epochs: 40	 batch size: 120000
